step,train_total,train_sup,train_adv,train_unsup,train_disc,val_loss,val_token_acc,pseudo_chunks,pseudo_notes
50,6.369964,6.355488,1.447645,0.000000,1.176880,,,0,0
100,5.892552,5.876687,1.586478,0.000000,1.018992,,,0,0
150,5.691441,5.676189,1.525164,0.000000,1.080144,,,0,0
200,5.456294,5.440797,1.549742,0.000000,1.100639,,,0,0
250,5.282846,5.267157,1.568953,0.000000,1.102548,,,0,0
300,5.164648,5.148647,1.600034,0.000000,1.036678,,,0,0
350,5.020497,5.004813,1.568309,0.000000,1.174370,,,0,0
400,4.857778,4.842381,1.539741,0.000000,1.195285,,,0,0
450,4.678332,4.663065,1.526676,0.000000,1.219459,,,0,0
500,4.594903,4.579593,1.531012,0.000000,1.198666,,,0,0
550,4.484099,4.469142,1.495655,0.000000,1.285600,,,0,0
600,4.403497,4.388691,1.480637,0.000000,1.280691,,,0,0
650,4.229544,4.214835,1.470916,0.000000,1.289495,,,0,0
700,4.157131,4.142500,1.463061,0.000000,1.295021,,,0,0
750,4.073167,4.058493,1.467414,0.000000,1.290546,,,0,0
800,3.970891,3.956296,1.459557,0.000000,1.312716,,,0,0
850,3.820237,3.805529,1.470805,0.000000,1.290696,,,0,0
900,3.772298,3.757791,1.450689,0.000000,1.291327,,,0,0
950,3.747129,3.732606,1.452335,0.000000,1.301522,,,0,0
1000,3.669187,3.654696,1.449098,0.000000,1.295759,,,0,0
1000,,,,,,4.057228,0.000000,,
1050,3.565847,3.551505,1.434180,0.000000,1.309745,,,0,0
1100,3.520105,3.505763,1.434225,0.000000,1.333962,,,0,0
1150,3.463461,3.449146,1.431542,0.000000,1.329480,,,0,0
1200,3.402123,3.387783,1.434056,0.000000,1.315558,,,0,0
1250,3.305892,3.291566,1.432573,0.000000,1.294969,,,0,0
1300,3.202121,3.187805,1.431626,0.000000,1.279542,,,0,0
1350,3.185213,3.170910,1.430313,0.000000,1.335015,,,0,0
1400,3.068880,3.054589,1.429028,0.000000,1.304468,,,0,0
1450,3.005414,2.991053,1.436151,0.000000,1.316083,,,0,0
1500,2.974402,2.960043,1.435918,0.000000,1.346746,,,0,0
1550,2.914412,2.900077,1.433575,0.000000,1.312614,,,0,0
1600,2.829855,2.815402,1.445214,0.000000,1.283894,,,0,0
1650,2.767816,2.753407,1.440938,0.000000,1.304202,,,0,0
1700,2.698763,2.684274,1.448845,0.000000,1.342862,,,0,0
1750,2.690879,2.676439,1.444042,0.000000,1.324425,,,0,0
1800,2.587018,2.572509,1.450858,0.000000,1.295124,,,0,0
1850,2.528643,2.514110,1.453300,0.000000,1.283895,,,0,0
1900,2.454830,2.440209,1.462141,0.000000,1.247230,,,0,0
1950,2.376109,2.361442,1.466725,0.000000,1.269646,,,0,0
2000,2.376254,2.361613,1.464074,0.000000,1.312085,,,0,0
2000,,,,,,3.157157,0.000000,,
2050,2.368342,2.353772,1.456953,0.000000,1.310911,,,0,0
2100,2.323062,2.308316,1.474673,0.000000,1.296199,,,0,0
2150,2.207415,2.192743,1.467233,0.000000,1.304389,,,0,0
2200,2.184151,2.169470,1.468049,0.000000,1.303461,,,0,0
2250,2.172484,2.157793,1.469087,0.000000,1.309743,,,0,0
2300,2.079725,2.065067,1.465840,0.000000,1.275412,,,0,0
2350,2.110408,2.095639,1.476859,0.000000,1.300062,,,0,0
2400,2.080668,2.065849,1.481972,0.000000,1.246246,,,0,0
2450,2.066988,2.052195,1.479280,0.000000,1.238954,,,0,0
2500,1.973854,1.958962,1.489182,0.000000,1.331155,,,0,0
2550,1.996059,1.981220,1.483867,0.000000,1.283614,,,0,0
2600,1.920183,1.905263,1.491985,0.000000,1.235611,,,0,0
2650,1.883185,1.868219,1.496590,0.000000,1.288433,,,0,0
2700,1.858915,1.843754,1.516113,0.000000,1.251371,,,0,0
2750,1.779292,1.764091,1.520058,0.000000,1.269190,,,0,0
2800,1.801858,1.786852,1.500538,0.000000,1.246763,,,0,0
2850,1.775347,1.760036,1.531076,0.000000,1.211088,,,0,0
2900,1.763295,1.748064,1.523099,0.000000,1.282234,,,0,0
2950,1.747974,1.732765,1.520913,0.000000,1.222373,,,0,0
3000,1.713731,1.698446,1.528540,0.000000,1.232223,,,0,0
3000,,,,,,2.877189,0.000000,,
3050,1.765576,1.750272,1.530378,0.000000,1.212359,,,0,0
3100,1.738294,1.722988,1.530607,0.000000,1.187496,,,0,0
3150,1.636715,1.621343,1.537210,0.000000,1.197395,,,0,0
