type,audio_path,midi_path
labeled,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-alb_se3_AkPnBcht.wav,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-alb_se3_AkPnBcht.mid
labeled,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-bach_846_AkPnBcht.wav,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-bach_846_AkPnBcht.mid
labeled,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-bach_847_AkPnBcht.wav,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-bach_847_AkPnBcht.mid
labeled,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-chp_op31_AkPnBcht.wav,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-chp_op31_AkPnBcht.mid
labeled,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-chpn-p12_AkPnBcht.wav,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-chpn-p12_AkPnBcht.mid
labeled,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-chpn-p13_AkPnBcht.wav,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-chpn-p13_AkPnBcht.mid
labeled,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-chpn-p1_AkPnBcht.wav,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-chpn-p1_AkPnBcht.mid
labeled,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-chpn-p24_AkPnBcht.wav,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-chpn-p24_AkPnBcht.mid
labeled,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-chpn-p3_AkPnBcht.wav,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-chpn-p3_AkPnBcht.mid
labeled,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-chpn-p8_AkPnBcht.wav,/work/kawano/kawano/my_mt3/dataset/MAPS/AkPnBcht/MUS/MAPS_MUS-chpn-p8_AkPnBcht.mid
